"","zipcode","estimate_households_under_10","estimate_households_10_15","estimate_households_15_25","estimate_households_25_35","estimate_households_35_45","estimate_households_50_75","estimate_households_75_100","estimate_households_100_150","estimate_households_150_200","estimate_households_over_200","median_income"
"28689","83650","8.0","0.0","15.0","15.0","16.5","21.0","16.5","2.5","0.0","5.5","47955"
"28690","83651","6.0","6.0","12.5","14.1","17.5","22.6","11.4","7.7","1.9","0.3","43256"
"28691","83654","4.3","1.4","15.4","13.5","18.2","23.8","13.2","4.8","1.6","3.9","48125"
"28692","83655","4.4","8.0","10.0","12.4","17.4","21.1","7.7","13.6","1.6","3.8","47351"
"28693","83656","6.8","2.9","11.2","7.3","27.2","26.7","8.7","9.2","0.0","0.0","46250"
"28694","83657","0.0","0.0","18.0","30.0","8.0","44.0","0.0","0.0","0.0","0.0","45625"
"28695","83660","5.1","8.0","8.8","12.0","18.8","22.7","10.5","9.4","2.7","2.1","48244"
"28696","83661","6.5","5.3","9.0","9.7","18.1","22.3","13.4","13.4","1.1","1.1","51512"
"28697","83666","15.4","15.4","15.4","15.4","7.7","0.0","30.8","0.0","0.0","0.0","-"
"28698","83669","5.4","3.9","9.0","6.2","18.1","18.6","11.6","13.9","9.2","4.1","56875"
"28699","83670","6.8","3.7","19.1","15.4","8.0","39.5","0.0","1.9","5.6","0.0","48214"
"28700","83671","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","-"
"28701","83672","8.3","6.8","15.3","17.5","15.9","18.8","6.1","9.4","1.1","1.0","36420"
"28702","83676","4.2","4.7","9.2","16.4","19.2","22.5","7.3","11.1","2.4","3.0","45795"
"28703","83677","-","-","-","-","-","-","-","-","-","-","-"
"28704","83686","7.3","4.2","8.1","11.8","16.0","23.8","10.8","13.8","2.8","1.4","51429"
"28705","83687","5.7","2.8","10.3","11.6","18.7","21.2","12.2","13.3","2.0","2.3","50825"
"28706","83702","7.9","4.2","10.6","9.6","9.1","15.6","9.0","12.5","8.5","13.0","61759"
"28707","83703","7.2","5.3","10.7","9.7","10.3","19.2","11.5","17.7","3.1","5.3","57982"
"28708","83704","6.4","4.0","11.4","10.5","17.7","21.7","11.3","12.7","2.1","2.1","49940"
"28709","83705","8.0","3.7","14.8","11.3","16.8","21.3","11.5","8.8","2.6","1.2","46045"
"28710","83706","10.1","7.0","11.6","9.7","13.7","14.1","10.9","13.1","4.5","5.3","46866"
"28711","83709","4.6","2.1","5.7","6.6","10.0","22.5","19.0","20.2","5.7","3.6","72821"
"28712","83712","5.8","1.8","6.8","7.6","8.7","13.9","15.4","14.6","11.2","14.1","82472"
"28713","83713","5.4","4.5","8.8","7.8","13.0","18.4","11.5","17.0","6.1","7.4","64557"
"28714","83714","8.2","4.0","12.3","8.5","14.1","18.5","11.1","13.2","4.2","6.1","53071"
"28715","83716","5.0","1.0","4.1","7.6","9.7","15.0","13.4","22.7","10.5","10.9","91658"
"28716","83801","4.6","5.7","6.0","14.3","13.8","21.9","13.2","10.8","7.8","1.8","54022"
"28717","83802","0.0","7.1","3.6","39.3","39.3","10.7","0.0","0.0","0.0","0.0","35000"
"28718","83803","13.9","29.5","0.0","0.0","18.9","7.3","6.1","19.5","4.8","0.0","-"
"28719","83804","6.7","3.7","7.9","14.0","17.4","20.5","10.5","11.6","3.4","4.3","53281"
"28720","83805","8.1","5.6","8.0","19.2","11.7","18.3","13.7","7.7","1.4","6.3","45417"
"28721","83806","9.0","4.0","19.0","14.0","19.0","27.0","2.0","6.0","0.0","0.0","36667"
"28722","83808","14.5","14.5","16.1","11.3","14.5","9.7","14.5","3.2","0.0","1.6","28500"
"28723","83809","0.0","0.0","0.0","0.0","0.0","43.1","19.6","37.3","0.0","0.0","88375"
"28724","83810","1.4","0.0","7.7","8.6","34.3","19.3","9.1","11.4","5.0","3.2","48125"
"28725","83811","10.7","21.8","17.9","7.9","14.9","17.3","6.0","3.6","0.0","0.0","24784"
"28726","83812","5.3","10.5","26.3","15.8","15.8","13.2","0.0","13.2","0.0","0.0","30625"
"28727","83813","0.0","14.1","9.7","7.0","3.5","20.3","4.2","12.1","29.1","0.0","67143"
"28728","83814","7.2","3.7","10.3","11.7","16.4","19.4","10.5","11.6","3.5","5.5","50498"
"28729","83815","8.1","4.5","9.3","9.6","15.3","22.5","9.3","14.1","4.6","2.7","53535"
"28730","83821","0.0","0.0","0.0","29.7","0.0","11.9","5.9","27.7","0.0","24.8","103194"
"28731","83822","8.6","9.0","21.1","9.7","16.3","19.0","13.4","2.9","0.0","0.0","35893"
"28732","83823","3.1","2.2","9.7","11.1","15.7","34.4","12.0","10.2","1.6","0.0","56906"
"28733","83824","21.2","7.1","5.9","17.6","12.9","21.2","1.2","8.2","4.7","0.0","31875"
"28734","83825","5.1","5.9","8.5","12.7","17.8","17.8","13.6","11.0","5.9","1.7","51250"
"28735","83826","-","-","-","-","-","-","-","-","-","-","-"
"28736","83827","14.3","2.2","8.8","30.8","20.9","5.5","13.2","2.2","2.2","0.0","27344"
"28737","83830","13.1","0.0","10.1","47.6","14.3","11.9","3.0","0.0","0.0","0.0","33785"
"28738","83832","3.4","6.0","3.6","6.2","20.5","18.5","10.5","23.3","4.8","3.2","65556"
"28739","83833","2.8","1.3","6.1","11.7","16.9","14.3","18.9","13.3","9.3","5.3","68750"
"28740","83834","10.6","0.0","0.0","29.8","10.6","39.4","9.6","0.0","0.0","0.0","49773"
"28741","83835","3.2","3.2","7.2","8.6","16.9","20.8","12.6","11.7","10.0","5.8","61334"
"28742","83836","2.1","8.9","5.8","20.4","12.8","19.4","14.4","11.8","0.5","3.9","50000"
"28743","83837","7.6","9.1","17.0","15.5","11.1","21.2","9.6","5.4","3.0","0.5","36875"
"28744","83839","7.0","3.9","6.3","19.0","22.8","25.2","7.0","7.2","0.0","1.6","42476"
"28745","83840","19.8","2.0","5.0","16.8","23.8","16.8","5.9","9.9","0.0","0.0","39531"
"28746","83841","18.4","0.0","16.5","0.0","37.3","0.0","12.0","15.8","0.0","0.0","41304"
"28747","83842","0.0","4.8","7.1","19.0","10.7","8.3","8.3","41.7","0.0","0.0","82500"
"28748","83843","12.7","8.0","11.0","12.0","14.3","16.3","6.9","11.0","3.7","4.1","40760"
"28749","83844","-","-","-","-","-","-","-","-","-","-","-"
"28750","83845","5.8","10.6","11.2","10.0","13.5","29.4","8.8","6.2","1.9","2.6","47321"
"28751","83846","5.1","6.9","15.3","16.8","12.0","21.0","10.8","11.7","0.6","0.0","41591"
